,carat,cut,color,clarity,depth,table,price,x,y,z
16762,1.01,Premium,F,VS2,60.3,59,6674,6.52,6.45,3.91
16771,1.51,Premium,J,SI1,60.4,62,6680,7.42,7.32,4.45
16776,1.12,Premium,G,VS2,62.3,59,6683,6.71,6.61,4.15
16778,1.02,Premium,G,VS1,61,58,6683,6.55,6.49,3.98
16779,1.02,Premium,G,VS1,62,56,6683,6.5,6.43,4.01
16783,1.33,Premium,G,SI2,60.3,58,6685,7.19,7.16,4.33
16784,1.24,Premium,H,SI1,60.2,60,6686,6.91,6.94,4.17
16789,1.08,Premium,G,VS1,62,60,6689,6.55,6.51,4.05
16793,1,Premium,F,VS1,61.3,59,6692,6.45,6.42,3.95
16796,1.39,Premium,I,SI1,62.1,57,6694,7.22,7.08,4.44
16797,1.22,Premium,G,SI1,63,57,6695,6.84,6.74,4.28
16798,1.01,Premium,E,VS2,60.4,57,6697,6.49,6.45,3.91
16802,1.28,Premium,H,SI1,59.9,59,6701,7.08,7.05,4.23
16805,1,Premium,G,VVS2,62.5,60,6702,6.43,6.34,3.99
16806,1.01,Premium,F,VS2,60.8,57,6702,6.52,6.47,3.95
16807,1.01,Premium,H,IF,62.1,59,6702,6.47,6.41,4
16814,1.01,Premium,F,VS2,61.6,59,6707,6.43,6.39,3.95
16819,1.21,Premium,H,VS2,58.8,59,6708,7.01,6.98,4.11
16820,1.04,Premium,G,VS2,60.1,59,6709,6.59,6.56,3.95
16822,1.04,Premium,G,VS2,61.8,58,6709,6.51,6.46,4.01
16825,1.21,Premium,H,VS2,60.8,58,6710,6.91,6.88,4.19
16826,1.21,Premium,H,VS2,61.5,58,6710,6.82,6.78,4.18
16827,1.51,Premium,J,SI2,61.9,56,6712,7.44,7.29,4.56
16830,1.11,Premium,G,VS2,60.8,58,6713,6.7,6.65,4.06
16832,1.11,Premium,G,VS2,59,59,6713,6.79,6.76,4
16833,1.11,Premium,G,VS2,62.3,58,6713,6.65,6.61,4.13
16838,1.06,Premium,E,VS2,62.3,58,6716,6.49,6.52,4.05
16842,1,Premium,E,VS2,62.8,60,6720,6.36,6.32,3.98
16843,1,Premium,E,VS2,62.1,59,6720,6.38,6.34,3.95
16844,1.5,Premium,G,SI2,58.3,61,6720,7.55,7.4,4.34
16847,1,Premium,E,VS2,60.4,57,6720,6.49,6.46,3.91
16850,1,Premium,E,VS2,61.5,58,6720,6.42,6.39,3.94
16851,1,Premium,E,VS2,62.7,59,6720,6.38,6.31,3.98
16852,1,Premium,E,VS2,60,60,6720,6.43,6.43,3.89
16854,1.2,Premium,H,VS1,58.5,61,6720,6.98,6.93,4.07
16855,1.21,Premium,H,VS2,60.5,60,6722,6.95,6.9,4.19
16857,1.2,Premium,H,VS1,62.7,58,6727,6.75,6.65,4.2
16861,1,Premium,G,VS1,62.4,59,6727,6.4,6.35,3.98
16866,1.24,Premium,H,SI1,60.4,59,6729,6.97,6.93,4.2
16867,1.07,Premium,G,VS1,62,58,6730,6.59,6.53,4.07
16868,1.07,Premium,G,VS1,58.6,60,6730,6.76,6.65,3.93
16878,1.01,Premium,D,VS1,61.1,56,6733,6.43,6.36,3.91
16883,1.31,Premium,I,VS1,58.5,60,6737,7.18,7.15,4.19
16891,1.47,Premium,I,SI2,62.4,55,6742,7.34,7.24,4.55
16892,1.2,Premium,E,SI1,62.5,56,6742,6.75,6.71,4.21
16897,1.13,Premium,G,VS2,62.5,58,6743,6.69,6.59,4.15
16904,1.03,Premium,G,VS1,60.7,58,6749,6.55,6.5,3.96
16905,1.03,Premium,G,VS1,62.2,59,6749,6.46,6.41,4
16908,1.5,Premium,J,SI2,61.4,61,6750,7.36,7.3,4.5
16909,1.23,Premium,G,SI1,62.4,55,6750,6.89,6.83,4.28
16913,1.37,Premium,E,SI2,61,57,6751,7.25,7.19,4.4
16914,1.41,Premium,I,SI2,62.9,59,6751,7.14,7.08,4.47
16921,1.41,Premium,J,VS2,62.7,56,6754,7.2,7.16,4.5
16922,1.34,Premium,I,VS2,61.8,59,6754,7.07,7.04,4.36
16923,1.27,Premium,H,VS2,62.6,59,6755,6.83,6.93,4.31
16925,1.51,Premium,I,SI1,62.2,61,6756,7.35,7.27,4.55
16929,1.01,Premium,G,VS1,60.9,58,6759,6.43,6.47,3.93
16933,1.28,Premium,I,VS2,61.7,60,6762,7.05,6.95,4.32
16938,1.22,Premium,I,VS1,62.6,57.4,6763,6.76,6.8,4.24
16942,1.04,Premium,E,VS1,58.6,59,6765,6.68,6.64,3.9
16947,0.97,Premium,F,VVS2,58.1,60,6768,6.53,6.49,3.78
16958,1.02,Premium,F,VS2,62.4,59,6773,6.45,6.4,4.01
16959,1.2,Premium,F,SI1,61,62,6774,6.96,6.81,4.2
16960,1.12,Premium,G,VS2,60.7,53,6774,6.81,6.7,4.1
16966,1.22,Premium,H,SI1,61.8,57,6776,6.86,6.82,4.23
16967,1,Premium,D,VS2,60.8,61,6776,6.41,6.39,3.89
16973,1.22,Premium,G,SI1,61.8,58,6777,6.88,6.82,4.23
16974,1.07,Premium,G,VS2,61.9,58,6779,6.54,6.55,4.05
16976,1.38,Premium,G,SI2,59.2,59,6779,7.35,7.29,4.33
16981,1.04,Premium,F,VS2,61.7,59,6782,6.45,6.49,3.99
16983,1.03,Premium,F,VS1,61.7,56,6783,6.49,6.47,4
16984,1.25,Premium,H,SI1,62.2,57,6783,6.91,6.85,4.28
16991,1.01,Premium,E,VS2,62,59,6787,6.46,6.44,4
16994,1.01,Premium,E,VS2,60.4,58,6787,6.51,6.47,3.92
16995,1.01,Premium,E,VS2,62.7,57,6787,6.36,6.31,3.97
16999,1.01,Premium,G,VS1,60.3,58,6787,6.56,6.5,3.94
17000,1.01,Premium,E,VS2,62.9,58,6787,6.39,6.36,4.01
17004,1.65,Premium,G,I1,62,59,6788,7.53,7.57,4.68
17005,1.53,Premium,G,SI2,58.5,59,6788,7.52,7.49,4.39
17008,1.33,Premium,F,SI2,59.9,58,6790,7.17,7.13,4.28
17010,1.52,Premium,I,VS2,61.7,61,6793,7.35,7.3,4.52
17036,1.35,Premium,F,SI2,62.8,60,6804,7.08,7,4.42
17040,1.3,Premium,I,VS1,62.2,59,6806,6.91,6.97,4.32
17059,0.34,Premium,E,SI2,61.7,61,612,4.51,4.47,2.77
17061,0.32,Premium,G,SI1,62,55,612,4.43,4.41,2.74
17062,0.32,Premium,G,SI1,60.9,56,612,4.45,4.41,2.7
17063,0.32,Premium,G,SI1,59.6,60,612,4.46,4.43,2.65
17064,0.32,Premium,G,SI1,62.6,58,612,4.37,4.35,2.73
17067,0.32,Premium,G,SI1,61.6,58,612,4.4,4.36,2.7
17068,0.32,Premium,G,SI1,61,61,612,4.41,4.38,2.68
17069,0.32,Premium,G,SI1,62.6,58,612,4.35,4.31,2.71
17071,1.5,Premium,J,SI1,60.5,59,6806,7.38,7.47,4.49
17076,1.24,Premium,H,SI1,60.2,60,6808,6.94,6.91,4.17
17084,1.52,Premium,D,SI2,62.4,59,6810,7.36,7.29,4.57
17091,1.04,Premium,D,VS2,62,60,6814,6.49,6.45,4.01
17092,1.34,Premium,H,SI1,62.4,57,6814,7.07,6.96,4.38
17095,1.04,Premium,G,VS1,61.5,61,6814,6.56,6.51,4.02
17107,1.74,Premium,F,I1,59.9,58,6821,7.88,7.82,4.7
17108,1.13,Premium,F,VS2,59.8,61,6822,6.81,6.76,4.06
17110,1.31,Premium,J,VS2,62,59,6822,7.04,6.97,4.34
17117,1.01,Premium,D,VS2,61,59,6827,6.44,6.41,3.92
17129,1.23,Premium,D,SI2,62.3,58,6833,6.81,6.78,4.23
17137,1.06,Premium,E,VS2,62.3,58,6838,6.52,6.49,4.05
17140,1.24,Premium,D,SI2,61.4,59,6840,6.87,6.91,4.23
17143,1.01,Premium,G,VVS2,60.9,59,6843,6.54,6.59,4
17145,1.01,Premium,E,VS2,62.2,58,6843,6.36,6.41,3.97
17148,1.01,Premium,G,VVS2,61.4,58,6843,6.46,6.51,3.98
17155,1.21,Premium,H,VS2,59.3,60,6849,6.93,6.99,4.13
17157,1.24,Premium,H,VS2,61.2,59,6850,6.89,6.93,4.23
17160,1.51,Premium,J,SI1,59.4,59,6851,7.45,7.54,4.45
17162,1.06,Premium,G,VS1,62.2,55,6853,6.58,6.51,4.07
17164,1.02,Premium,E,VS2,58.4,57,6854,6.64,6.59,3.86
17165,1.02,Premium,E,VS2,62.1,52,6854,6.55,6.49,4.05
17171,1.25,Premium,G,SI1,60.7,58,6856,6.97,6.9,4.21
17177,1.72,Premium,J,SI1,62,56,6857,7.76,7.7,4.79
17183,1,Premium,E,VS2,61.8,62,6860,6.47,6.44,3.99
17186,1.11,Premium,F,VS2,62.7,59,6863,6.58,6.62,4.14
17195,1,Premium,D,VS2,59.6,60,6868,6.57,6.52,3.9
17207,1.24,Premium,F,SI1,61.6,59,6874,6.86,6.9,4.24
17208,1.24,Premium,E,SI1,59.7,59,6875,7.07,6.99,4.2
17211,1.29,Premium,I,VS1,63,57,6877,6.99,6.89,4.37
17213,1.01,Premium,G,VS1,61.7,56,6882,6.53,6.46,4.01
17215,1.01,Premium,G,VS1,60.9,58,6882,6.47,6.43,3.93
17220,1.07,Premium,F,VS1,60.6,61,6885,6.62,6.56,3.99
17226,1.22,Premium,F,SI1,61.8,59,6887,6.86,6.83,4.23
17227,1.23,Premium,G,SI1,61.2,59,6888,6.88,6.81,4.19
17228,1.5,Premium,I,SI1,62.3,58,6888,7.33,7.22,4.53
17232,1.04,Premium,G,VVS1,58.2,60,6890,6.71,6.66,3.89
17233,1.55,Premium,J,SI2,62.6,57,6890,7.37,7.32,4.6
17237,1.27,Premium,H,SI1,60.2,58,6892,7.04,6.99,4.22
17242,1.6,Premium,F,SI2,61.8,57,6899,7.51,7.46,4.63
17243,1,Premium,F,VS2,60.7,58,6899,6.45,6.36,3.89
17244,1.01,Premium,F,VS2,59.2,61,6900,6.59,6.55,3.89
17247,1.07,Premium,G,VS2,61.9,58,6903,6.55,6.54,4.05
17255,1.09,Premium,G,VS2,61,59,6906,6.6,6.65,4.04
17257,1.04,Premium,F,VS2,61.7,59,6906,6.49,6.45,3.99
17259,1.04,Premium,F,VS2,61.9,58,6908,6.55,6.51,4.04
17260,1.02,Premium,D,VS2,59.8,61,6909,6.61,6.54,3.93
17261,1.23,Premium,G,SI1,62.5,59,6909,6.84,6.77,4.25
17267,1.65,Premium,G,I1,62,59,6912,7.57,7.53,4.68
17274,1.26,Premium,F,SI1,62.3,58,6915,6.89,6.84,4.28
17277,1.15,Premium,H,VVS2,58.8,58,6917,6.9,6.87,4.05
17280,1.31,Premium,I,VS2,62.4,61,6921,6.98,6.9,4.33
17281,1.31,Premium,I,VS2,60,58,6921,7.15,7.11,4.28
17285,1.03,Premium,E,VS2,62.9,61,6922,6.42,6.36,4.02
17287,1.01,Premium,F,VS2,61.4,57,6923,6.51,6.45,3.98
17295,1.05,Premium,E,VS2,62.1,58,6930,6.5,6.54,4.05
17298,1.3,Premium,I,VS1,62.2,59,6931,6.97,6.91,4.32
17300,1.22,Premium,F,SI1,62.5,59,6932,6.78,6.83,4.25
17301,1.01,Premium,G,VS1,60.7,58,6932,6.49,6.52,3.95
17305,1.22,Premium,H,VS2,62.4,58,6934,6.84,6.79,4.25
17307,1.29,Premium,D,SI2,59.4,62,6935,7.06,6.99,4.17
17310,1.05,Premium,G,VS1,61.6,58,6936,6.48,6.51,4
17312,1.28,Premium,D,SI2,61.2,58,6936,7.09,6.96,4.3
17318,1.15,Premium,D,SI1,63,57,6942,6.69,6.64,4.2
17321,1.19,Premium,H,VS2,61.1,58,6944,6.83,6.78,4.16
17323,1.28,Premium,H,SI1,62.3,58,6946,7,6.94,4.34
17324,1.06,Premium,F,VS2,62.2,57,6947,6.58,6.53,4.08
17328,1.09,Premium,G,VS1,62.5,59,6951,6.57,6.54,4.1
17335,1.15,Premium,G,VS2,62.9,58,6955,6.7,6.62,4.19
17340,1.23,Premium,H,VS2,62.4,61,6957,6.85,6.8,4.26
17350,1.24,Premium,H,VS2,61.7,59,6962,6.91,6.84,4.24
17352,1.11,Premium,D,SI1,62,58,6962,6.68,6.64,4.13
17353,1.33,Premium,I,VS1,61.5,58,6963,7.02,7.06,4.33
17355,1.33,Premium,E,SI2,62.5,58,6963,6.99,7.03,4.38
17356,1.21,Premium,E,SI1,62.3,58,6963,6.77,6.74,4.21
17358,1.24,Premium,D,SI2,61.4,59,6965,6.91,6.87,4.23
17361,1.01,Premium,G,VVS2,60.9,59,6968,6.59,6.54,4
17367,1.73,Premium,H,SI2,60.5,60,6968,7.79,7.71,4.69
17368,1.01,Premium,E,VS2,62.2,58,6968,6.41,6.36,3.97
17369,1.22,Premium,G,SI2,62.4,61,6969,6.79,6.79,4.23
17374,0.32,Premium,G,SI1,62.8,56,612,4.36,4.34,2.73
17375,0.34,Premium,I,VS2,62.1,57,612,4.48,4.44,2.77
17376,0.34,Premium,I,VS2,61.8,58,612,4.51,4.48,2.78
17377,0.34,Premium,H,SI1,60.2,58,612,4.52,4.48,2.71
17378,0.34,Premium,H,SI1,62.1,59,612,4.5,4.46,2.78
17380,0.34,Premium,E,SI2,59.9,59,612,4.57,4.55,2.73
17381,0.34,Premium,E,SI2,61.7,58,612,4.54,4.5,2.79
17382,0.34,Premium,E,SI2,61.5,58,612,4.52,4.49,2.77
17383,0.34,Premium,E,SI2,62.4,59,612,4.46,4.42,2.77
17384,0.34,Premium,E,SI2,62.5,59,612,4.46,4.43,2.78
17387,0.32,Premium,G,SI1,62.5,58,612,4.43,4.4,2.76
17388,0.32,Premium,G,SI1,60.9,58,612,4.44,4.39,2.69
17398,0.34,Premium,E,SI1,59.3,58,612,4.59,4.55,2.71
17402,1.22,Premium,D,SI2,61.9,60,6969,6.88,6.82,4.24
17405,1.56,Premium,F,SI2,63,58,6971,7.35,7.28,4.66
17411,1.03,Premium,D,VS1,59.6,61,6974,6.62,6.57,3.93
17412,1.21,Premium,H,VS2,59.3,60,6974,6.99,6.93,4.13
17414,1.51,Premium,J,SI1,61.2,62,6976,7.36,7.32,4.49
17417,1.5,Premium,H,SI2,61.2,61,6979,7.34,7.27,4.47
17425,1.08,Premium,G,VS1,62.9,55,6982,6.6,6.53,4.13
17426,1.08,Premium,G,VS1,62.7,56,6982,6.55,6.52,4.1
17433,1.29,Premium,H,VS2,62.4,57,6987,6.98,6.92,4.34
17434,1.41,Premium,D,SI2,61.1,56,6988,7.19,7.15,4.38
17435,1,Premium,G,VS1,62.9,60,6989,6.36,6.29,3.98
17437,1,Premium,G,VS1,58.6,61,6989,6.57,6.5,3.83
17440,1.58,Premium,F,SI2,60.7,60,6990,7.54,7.51,4.57
17445,1.04,Premium,G,VS1,62,56,6996,6.53,6.46,4.03
17454,1.01,Premium,F,VS1,61.3,58,6999,6.44,6.52,3.97
17456,1.24,Premium,F,SI1,61.6,59,7000,6.9,6.86,4.24
17461,1.3,Premium,D,SI2,60.2,59,7002,7,7.05,4.23
17465,1.16,Premium,F,VS2,62.7,58,7003,6.71,6.65,4.19
17466,1.27,Premium,G,SI1,61.4,59,7005,6.94,6.98,4.27
17468,0.91,Premium,E,VVS2,61.1,61,7006,6.24,6.2,3.8
17469,1.39,Premium,H,VS2,62.5,59,7006,7.17,7.1,4.46
17478,1.01,Premium,F,VS1,60.8,59,7017,6.45,6.41,3.91
17480,1.51,Premium,H,SI2,62.3,62,7018,7.32,7.21,4.51
17481,1.04,Premium,E,VS2,62.4,58,7019,6.56,6.51,4.08
17484,1.1,Premium,G,VS2,59.4,60,7022,6.78,6.72,4.01
17488,1.05,Premium,F,VS2,62.6,58,7025,6.47,6.5,4.06
17496,1.01,Premium,D,VS2,60.4,58,7032,6.57,6.47,3.94
17497,1.01,Premium,D,VS2,62.2,61,7032,6.43,6.37,3.98
17498,1.15,Premium,G,VS1,63,60,7032,6.68,6.6,4.18
17499,1.09,Premium,G,VS2,61,59,7032,6.65,6.6,4.04
17500,1.51,Premium,J,SI1,62.3,58,7034,7.3,7.33,4.56
17512,1.04,Premium,D,VS1,60.8,58,7041,6.53,6.5,3.96
17517,1.3,Premium,D,SI2,61.5,58,7044,6.98,6.91,4.27
17518,1.04,Premium,E,VS2,61.1,59,7047,6.54,6.56,4
17526,1.11,Premium,G,VS2,61.5,58,7055,6.69,6.62,4.09
17529,1.26,Premium,H,SI1,61.3,57,7056,7.01,6.93,4.27
17531,1,Premium,F,VS1,62,59,7056,6.42,6.35,3.96
17532,1,Premium,F,VS1,59.2,60,7056,6.53,6.48,3.58
17533,1,Premium,F,VS1,59.2,60,7056,6.53,6.48,3.85
17534,1,Premium,F,VS1,62.7,55,7056,6.39,6.34,3.99
17536,1.05,Premium,E,VS2,62.1,58,7056,6.54,6.5,4.05
17539,1.5,Premium,F,SI2,62.4,58,7056,7.31,7.24,4.54
17540,1.5,Premium,I,SI2,62.2,61,7056,7.24,7.19,4.49
17546,1.22,Premium,F,SI1,62.5,59,7059,6.83,6.78,4.25
17547,1.01,Premium,G,VS1,60.7,58,7059,6.52,6.49,3.95
17548,1.01,Premium,F,VS2,62.5,59,7062,6.41,6.32,3.98
17550,1.05,Premium,G,VS1,61.6,58,7063,6.51,6.48,4
17559,1.01,Premium,G,VVS2,61.2,59,7068,6.42,6.36,3.91
17563,1,Premium,F,VS2,59,59,7072,6.54,6.51,3.85
17569,1.16,Premium,G,VS2,59.9,60,7074,6.85,6.88,4.11
17575,1.5,Premium,D,SI2,59.6,59,7076,7.54,7.46,4.47
17586,1.14,Premium,G,VS2,60.9,57,7079,6.79,6.73,4.12
17588,1.08,Premium,F,VS2,62.8,59,7079,6.55,6.47,4.09
17589,1.14,Premium,G,VS2,61.4,60,7079,6.71,6.68,4.11
17599,1.48,Premium,I,SI2,61.3,58,7086,7.39,7.32,4.51
17604,1.72,Premium,F,I1,60.5,59,7089,7.8,7.71,4.69
17605,1.23,Premium,H,VS2,62.9,57,7089,6.84,6.77,4.28
17606,1.33,Premium,I,VS1,61.5,58,7090,7.06,7.02,4.33
17608,1.33,Premium,E,SI2,62.5,58,7090,7.03,6.99,4.38
17611,1.24,Premium,H,VS1,62.2,59,7092,6.83,6.9,4.27
17617,1.21,Premium,H,VS1,62.3,58,7094,6.77,6.84,4.24
17623,1,Premium,E,VS1,63,60,7096,6.38,6.32,4
17628,1.5,Premium,G,SI2,62.1,60,7098,7.34,7.28,4.54
17631,1.28,Premium,H,VS2,61.2,60,7098,6.99,6.94,4.26
17635,1.02,Premium,D,VS2,62.7,58,7101,6.44,6.35,4.01
17639,1.36,Premium,I,VS2,61.9,56,7104,7.17,7.08,4.41
17640,1.22,Premium,H,VS1,62.7,56,7105,6.82,6.74,4.25
17643,1.41,Premium,H,SI2,59.1,57,7106,7.41,7.34,4.36
17658,1,Premium,F,VS1,62.6,58,7114,6.37,6.4,4
17660,1.1,Premium,F,VS2,61.1,57,7115,6.71,6.65,4.08
17669,1.06,Premium,E,VS2,61.4,60,7123,6.57,6.53,4.02
17670,1.59,Premium,F,SI2,62.2,58,7123,7.49,7.45,4.64
17676,1.01,Premium,F,VS1,61.3,58,7127,6.52,6.44,3.97
17681,1.01,Premium,F,VS1,62.4,61,7127,6.39,6.36,3.98
17684,1.02,Premium,G,VS1,61,61,7129,6.58,6.53,4
17687,1.06,Premium,G,VS1,62,58,7130,6.56,6.51,4.05
17688,1.06,Premium,G,VS1,62.8,56,7130,6.52,6.47,4.08
17689,1.3,Premium,D,SI2,60.2,59,7130,7.05,7,4.23
17690,1.19,Premium,G,VS2,62.3,58,7130,6.82,6.77,4.23
17694,1.27,Premium,G,SI1,61.4,59,7133,6.98,6.94,4.27
17703,0.32,Premium,G,SI1,60.5,59,612,4.43,4.39,2.67
17706,0.31,Premium,H,VVS1,61.8,59,612,4.32,4.36,2.68
17734,1.18,Premium,G,VS2,62.3,62,7137,6.72,6.69,4.18
17738,1.5,Premium,I,SI2,59.5,62,7140,7.46,7.39,4.42
17739,1.7,Premium,I,SI2,61.7,56,7140,7.66,7.57,4.7
17742,1.21,Premium,H,VS2,61,58,7142,6.9,6.83,4.19
17745,1.56,Premium,J,VS1,61.3,59,7144,7.54,7.49,4.61
17747,1.51,Premium,G,SI2,62.7,57,7145,7.33,7.29,4.58
17759,1.13,Premium,G,VS2,61.9,58,7151,6.7,6.67,4.14
17764,1.29,Premium,H,VS2,61.2,60,7153,7.03,6.95,4.28
17765,1.05,Premium,F,VS2,62.6,58,7154,6.5,6.47,4.06
17767,1.22,Premium,F,VS2,63,60,7154,6.85,6.74,4.28
17772,1.56,Premium,I,SI1,61.7,59,7155,7.44,7.38,4.57
17779,1.55,Premium,E,SI2,58.5,57,7161,7.66,7.57,4.46
17780,1.51,Premium,I,SI2,62.6,59,7162,7.28,7.31,4.57
17783,1.24,Premium,F,SI1,61.6,59,7162,6.94,6.89,4.26
17785,1.32,Premium,H,SI1,61.5,61,7163,7.05,6.97,4.31
17786,1,Premium,G,VS1,59.7,59,7164,6.57,6.5,3.9
17790,1,Premium,E,VS2,61.3,58,7168,6.41,6.38,3.92
17791,1,Premium,E,VS2,63,58,7168,6.25,6.22,3.93
17792,1,Premium,F,VS2,60.7,57,7168,6.5,6.45,3.93
17793,1.33,Premium,H,SI1,61.9,58,7171,6.98,7.04,4.34
17801,1.04,Premium,E,VS2,61.1,59,7175,6.56,6.54,4
17816,1.11,Premium,F,VS2,61.3,56,7179,6.68,6.63,4.08
17819,1.5,Premium,E,SI2,61.5,60,7182,7.29,7.22,4.46
17825,1.5,Premium,H,SI2,61.4,62,7187,7.4,7.25,4.49
17831,1.57,Premium,J,VS1,60.8,61,7190,7.6,7.49,4.59
17835,1.03,Premium,E,VS2,61.2,59,7192,6.53,6.47,3.98
17841,1.02,Premium,F,VS1,60.5,56,7197,6.61,6.52,3.97
17852,1.21,Premium,E,SI1,62.6,58,7203,6.79,6.82,4.26
17855,1.47,Premium,J,VS2,61.5,58,7203,7.31,7.29,4.49
17856,1.16,Premium,G,VS2,59.9,60,7203,6.88,6.85,4.11
17858,1.33,Premium,H,SI1,61.1,61,7204,7.05,7.02,4.3
17859,1,Premium,F,VVS2,61.9,61,7204,6.45,6.32,3.95
17873,1.15,Premium,D,SI1,61.1,53,7213,6.83,6.76,4.15
17886,1.27,Premium,H,VS2,62.1,60,7219,6.94,6.88,4.29
17888,1.01,Premium,G,IF,61.3,58,7220,6.4,6.48,3.95
17891,1.24,Premium,H,VS1,62.2,59,7222,6.9,6.83,4.27
17895,1.21,Premium,H,VS1,62.3,58,7223,6.84,6.77,4.24
17896,1.4,Premium,G,SI2,62,60,7225,7.1,7.16,4.42
17898,2.3,Premium,G,I1,60.2,59,7226,8.71,8.56,5.19
17908,1.07,Premium,F,VS1,62.4,58,7232,6.52,6.49,4.06
17911,1.38,Premium,H,VS1,61,60,7233,7.21,7.16,4.38
17916,1.51,Premium,H,SI2,59.4,62,7235,7.47,7.31,4.39
17919,1,Premium,H,IF,60.6,57,7235,6.54,6.47,3.94
17923,1.39,Premium,J,VS1,60.8,58,7239,7.26,7.21,4.4
17925,1.01,Premium,F,VS2,61.7,58,7240,6.47,6.43,3.98
17929,1.01,Premium,E,VS2,58,61,7240,6.53,6.5,3.94
17930,1.01,Premium,E,VS2,59.3,58,7240,6.53,6.49,3.86
17936,1,Premium,F,VS1,62.6,58,7244,6.4,6.37,4
17937,1.05,Premium,F,VS2,62.3,59,7244,6.5,6.46,4.04
17938,1.61,Premium,J,SI2,62.2,59,7245,7.52,7.47,4.66
17940,1.25,Premium,H,VS2,60.4,59,7246,6.92,6.96,4.19
17944,1.7,Premium,I,SI2,59.4,59,7250,7.83,7.75,4.63
17948,1.51,Premium,J,SI1,60.6,57,7255,7.46,7.38,4.5
17952,1.55,Premium,I,SI2,61.5,58,7256,7.39,7.46,4.57
17954,1.21,Premium,F,SI1,61.6,59,7257,6.82,6.79,4.19
17959,1.2,Premium,G,VS2,59.4,58,7258,6.91,6.85,4.09
17960,1.2,Premium,G,VS2,59.6,58,7258,6.94,6.89,4.12
17962,1.5,Premium,J,SI1,61.7,59,7258,7.36,7.32,4.53
17963,1,Premium,E,VS1,61.9,60,7260,6.41,6.44,3.98
17966,1.25,Premium,E,SI1,60.9,59,7260,6.98,7.02,4.26
17969,1.22,Premium,E,SI1,62.6,58,7262,6.78,6.8,4.25
17971,1.5,Premium,I,SI2,62.2,62,7266,7.27,7.2,4.5
17974,1.73,Premium,I,SI2,61.1,62,7270,7.64,7.54,4.64
17982,1.23,Premium,E,SI1,59.2,62,7274,7.05,7,4.16
17983,1.2,Premium,E,SI1,60.9,57,7274,6.86,6.8,4.16
17984,1.06,Premium,E,VS2,61.3,58,7275,6.52,6.56,4.01
17988,1.14,Premium,F,VS2,62,59,7275,6.71,6.64,4.14
17993,1.31,Premium,H,VS2,62.5,58,7277,6.97,6.94,4.35
17994,1.01,Premium,F,VS2,61.2,57.5,7277,6.43,6.45,3.94
17997,1.19,Premium,H,VS1,62.4,59,7277,6.79,6.73,4.22
18002,1,Premium,D,VS1,61,58,7280,6.46,6.42,3.93
18003,1.06,Premium,D,VS2,59.6,60,7280,6.71,6.68,3.99
18007,1.2,Premium,F,SI1,60.1,59,7282,6.92,6.85,4.14
18010,1.22,Premium,H,VS1,58.9,59,7283,7.02,6.96,4.12
18014,1.01,Premium,E,VS2,59.2,59,7287,6.67,6.6,3.93
18015,1.54,Premium,G,SI2,61.6,58,7287,7.45,7.3,4.57
18026,1.5,Premium,H,SI2,62.3,59,7291,7.27,7.21,4.52
18032,0.35,Premium,H,VS1,61.7,59,614,4.51,4.53,2.79
18033,0.35,Premium,E,SI1,61.1,59,614,4.5,4.56,2.77
18034,0.35,Premium,H,VS1,62.6,59,614,4.45,4.5,2.8
18037,0.35,Premium,H,VS1,61.3,59,614,4.54,4.57,2.79
18043,0.35,Premium,E,SI1,59.7,60,614,4.53,4.58,2.72
18044,0.35,Premium,E,SI1,61.2,58,614,4.53,4.59,2.79
18049,0.35,Premium,E,SI1,60.8,60,614,4.51,4.57,2.76
18060,0.36,Premium,F,SI1,61.1,60,616,4.62,4.57,2.81
18061,1.51,Premium,I,SI2,62.6,59,7292,7.31,7.28,4.57
18062,1.51,Premium,I,SI2,58.7,59,7292,7.53,7.49,4.41
18074,1.33,Premium,H,SI1,61.9,58,7302,7.04,6.98,4.34
18075,1.63,Premium,I,SI1,61.5,60,7302,7.59,7.54,4.65
18080,1.34,Premium,D,SI2,61.5,58,7305,7.04,7.07,4.34
18085,1.5,Premium,J,VS2,61.7,56,7308,7.33,7.23,4.49
18087,1.11,Premium,F,VS1,62.8,56,7310,6.62,6.57,4.14
18088,1.22,Premium,H,VS2,60.8,59,7310,6.93,6.86,4.19
18089,1.39,Premium,E,SI2,62.7,58,7311,6.99,7.11,4.42
18090,1.02,Premium,E,VS2,60,59,7311,6.56,6.54,3.93
18095,1.51,Premium,J,SI1,58.4,60,7314,7.58,7.53,4.41
18096,1.42,Premium,H,SI2,61.6,58,7316,7.22,7.17,4.43
18097,1.21,Premium,G,VS2,63,58,7318,6.72,6.67,4.22
18099,1.55,Premium,H,SI2,62,56,7319,7.41,7.37,4.58
18100,1.37,Premium,J,VVS2,59.4,61,7319,7.29,7.25,4.32
18102,1.21,Premium,G,VS2,62.2,58,7320,6.78,6.88,4.25
18103,1.51,Premium,H,SI2,63,59,7321,7.26,7.16,4.54
18110,1.56,Premium,I,VS2,60.8,59,7326,7.56,7.51,4.58
18111,1.25,Premium,H,VS1,62.7,59,7328,6.82,6.86,4.29
18112,1.03,Premium,F,VS1,61.8,59,7328,6.46,6.48,4
18120,1.21,Premium,E,SI1,62.6,58,7334,6.82,6.79,4.26
18123,1,Premium,F,VS1,62.3,61,7336,6.38,6.33,3.96
